Description;demarche en ligne;compte ou espace personnel;telephone;e-mail;accueil;courrier;reseaux sociaux;Description_2;Description_3;clusters
j ai mis une etoile parce qu on ne peut pas valider le post sans etoile   attendre 7min au telephone pour qu on vous raccroche au nez  sans meme prendre le temps d ecouter la demande  on depasse le stade du manque de respect  voila comment creer un probleme  la ou un simple desole  je n ai pas la reponse et un nom aupres de qui prendre attache aurait suffit   j ai ete bien elevee donc je reste polie  mais serieusement avec ce genre d attitudes vous etonnez pas du ressentiment que vous cree chez les gens     votre vie doit etre vraiment triste pour que vous ne soyez meme pas capable du minimum  c est pathetique ;0;0;0;0;0;;;['7min', 'raccroch', 'nez', 'dep', 'stad', 'respect', 'desol', 'repons', 'attach', 'suff', 'eleve', 'attitud', 'eton', 'ressent', 'trist', 'capabl', 'pathet'];7min raccroch nez dep stad respect desol repons attach suff eleve attitud eton ressent trist capabl pathet;-1
bonjour   avant confinement  au pole emploi  il y avait une longue queue et l attente tres longue  des fils de queues incomprehensibles  on ne sait pas ou se mettre  on se marchait dessus et pas assez de place pour tout le monde  certains conseillers sont sympas  d autres pas du tout   bien cordialement;1;0;0;0;0;;;['confin', 'queu', 'fil', 'queu', 'incomprehensibl', 'march', 'dessus'];confin queu fil queu incomprehensibl march dessus;0
excellent;0;0;0;0;1;;;['excellent'];excellent;-1
service indemnisation impoli  desinteresse de leur metier  ils n expliquent rien    en gros debrouillez vous    cest n importe quoi ce pole emploi    faut le fuir   ;0;0;0;0;0;;;['indemnis', 'impol', 'desinteress', 'expliquent', 'debrouill', 'fuir'];indemnis impol desinteress expliquent debrouill fuir;0
des facilites pour les chomeur dites vous ordi verrouille a leur simple app  tout le temps l acces est limite  photocopie blasfame avec leur logo  rdv trop espace   ;1;0;0;0;0;;;['ordi', 'verrouill', 'app', 'photocop', 'blasfam', 'logo', 'rdv'];ordi verrouill app photocop blasfam logo rdv;-1
le directeur d agence est un incompetent  il soutient qu une rupture d un accord commun d un cdd  n ouvre pas de droit au chomage selon la  loi   je conseil a cette personne de se reorienter au plus vite afin de ne pas induire en erreur le public et enfin trouver un sens a sa vie   si vous etes dans un des cas de rupture anticipee de cdd ou de contrat de mission prevues par la loi  vous pourrez pretendre a l allocation chomage  et ce des la rupture du contrat notamment  suite a un accord entre votre employeur et vous  en cas de faute grave  en cas d inaptitude declaree par le medecin du travail   trouve sur le site de pole emploi   ;1;0;0;0;0;;;['directeur', 'incompetent', 'soutient', 'accord', 'cdd', 'chomag', 'selon', 'reorient', 'induir', 'anticipe', 'cdd', 'contrat', 'prevu', 'pretendr', 'alloc', 'chomag', 'contrat', 'accord', 'employeur', 'grav', 'inaptitud', 'medecin'];directeur incompetent soutient accord cdd chomag selon reorient induir anticipe cdd contrat prevu pretendr alloc chomag contrat accord employeur grav inaptitud medecin;1
tres bon accueil  ils s adaptent a la situation de chaque personne  bravo l equipe;0;0;0;0;1;;;['adaptent', 'equip'];adaptent equip;0
ni plus ni moins bien ca reste pole emploi ne rien attendre de miraculeux;0;0;0;0;0;;;['miracul'];miracul;0
bon accueil   et explications bien;0;0;0;0;1;;;[];;0
       ;0;0;1;0;1;;;[];;0
parole non tenue de plus debrouille toi meme pour la creations du cv sans oublie on me fait attendre pour en finir j ai du partir de misere    merci l experience    ;0;0;0;0;0;;;['parol', 'tenu', 'debrouill', 'creation', 'miser'];parol tenu debrouill creation miser;-1
recois des offres d emplois et des appel de ma conseillere uniquement lorsque j ai trouve un emploi ;0;0;0;0;0;;;['offre', 'appel'];offre appel;0
manque de professionnalisme et de personnel;0;0;0;0;1;;;['professionnal'];professionnal;0
bonne acceuil bon conseiller   amir ;0;0;1;0;1;;;['acceuil', 'amir'];acceuil amir;0
des inccapables;0;1;1;1;0;;;['inccap'];inccap;0
excellent service rien a dire;0;0;1;0;0;;;['excellent'];excellent;-1
pole emploi competant    ;0;1;1;0;0;;;['compet'];compet;0
on peut juste dire qu ils sont pas fatigue a la fin de journee;0;0;0;0;1;;;['fatigu'];fatigu;-1
faudrait faire un trie dans le personnel et changer pas mal de chose dans leur mentalite qui est lamentable  ;0;0;0;0;1;;;['tri', 'mentalit'];tri mentalit;0
encore mieux  pole emploi n assurait plus les indemnites a partir de decembre 2020 pour mon epouse  c est bien 2020 et pas une erreur  malgre le fait d avoir supprime le compte  pole emploi est capable d envoyer une offre d emploi recu aujourd hui 30 08 2021  9 mois apres  alors que l on l a force a prendre sa retraite    trop fort  comme quoi il ne faut pas compter sur eux pour trouver du travail    ;0;0;0;0;0;;;['assur', 'indemnit', 'epous', 'compt', 'capabl', 'offre', '08', '9', 'retrait', 'compt'];assur indemnit epous compt capabl offre 08 9 retrait compt;-1
1  il arrete pas de changer de conseille  2   ils met les rdv sans nous demander  3   en plus tu reponds a leur convocation mais eu comme par hasard ils oublient de te mettre present pourtant j avais bien signe et on t appelle une deuxieme fois a la meme convocation  c est n importe quoi ;0;0;0;0;0;;;['rdv', 'convoc', 'hasard', 'oublient', 'appel', 'convoc'];rdv convoc hasard oublient appel convoc;-1
une administration de qualite personnel competent et agreable;0;0;0;0;1;;;['administr', 'competent'];administr competent;0
entretien telephonique de 35 min ou j ai la nette impression d avoir une employee de hotline au bout du fil  reponses toutes faites avec tournures de phrases alambiquees  histoire de prouver sa superiorite  me coupe la parole  j avais une liste de question a poser  j ai reussi a en poser une en forcant  madame m a fait un cours magistral sur la facon de se servir de l outil de recherche de formation  je ne suis pas quand meme pas une epeutnaert  oui ce mot existe   et si vous estimez qu on vous manque de respect et que cela vous est desagreable  imaginez ce que cela m a fait quand vous ne m avez meme pas accorde votre consideration ;0;0;0;0;0;;;['35', 'min', 'net', 'impress', 'employe', 'hotlin', 'fil', 'repons', 'tournur', 'phras', 'alambique', 'histoir', 'prouv', 'superiorit', 'coup', 'parol', 'pos', 'pos', 'magistral', 'serv', 'format', 'epeutnaert', 'estim', 'respect', 'imagin', 'accord'];35 min net impress employe hotlin fil repons tournur phras alambique histoir prouv superiorit coup parol pos pos magistral serv format epeutnaert estim respect imagin accord;-1
tres mauvaise;0;0;0;0;1;;;[];;0
des incompetents    autrement ce n est pas possible  j ai envoye un mail et toujours pas reponse  une semaine plus tard je renvoie un mail mais toujours l oreille sourde  a croire qu on fait la manche alors qu on a cotise pour ca  bref a gerber ces gens ;0;0;0;0;0;;;['incompetent', 'autr', 'repons', 'renvoi', 'oreil', 'sourd', 'manch', 'gerb'];incompetent autr repons renvoi oreil sourd manch gerb;1
excellent accueil  des conseillers qui ont pris le temps de m ecouter et d apporter une reponse efficace a mon probleme  merci;0;0;0;0;0;;;['excellent', 'apport', 'repons'];excellent apport repons;4
personnel payer grassement avec vos impots travail reellement 20 heures par semaine contrat 35 heures ou 4 heures par jours et encore je suis genereux vive la fonction publique ne pas oublier les 44 fermetures exceptionnelles dans l annee le vendredi le hasard si si     ;0;0;0;0;0;;;['pai', 'grass', 'impot', 'contrat', '35', 'gener', 'viv', 'oubli', '44', 'fermetur', 'exceptionnel', 'vendred', 'hasard'];pai grass impot contrat 35 gener viv oubli 44 fermetur exceptionnel vendred hasard;-1
si je ne pouvais mettre aucune etoile je le ferais sans hesiter j ai envoye un mail on ne m a jamais repondu je renvoie le meme mail 7 jours apres en precisant que je suis insatisfaite j attend toujours une reponse incapable  de repondre a des mails la moindre des choses et de repondre au gens vue le temps qu il passent a discuter ils ont du temps de libre et si on annule un rendez vous ou si on ne peu pas y aller il nous menace de nous radier inadmissible vraiment sa ne vos pas plus qu une etoile;0;0;1;0;0;;;['hesit', 'renvoi', 'insatisfait', 'attend', 'repons', 'passent', 'discut', 'libr', 'radi', 'inadmissibl'];hesit renvoi insatisfait attend repons passent discut libr radi inadmissibl;-1
bonjour  les travailleurs inutiles se comportent comme si ce n etait pas leur travail mais une punitio  service 0 incomprehensible pour l esprit  l etat trompe officiellement le   pole emploi   est ce l organe de l etat   cette formacion n est pas a 0 euros  elle coute 1 500 euros seulement vous le saurez quand vous arriverez sur place ;1;0;0;0;0;;;['travailleur', 'comportent', 'punitio', 'incomprehensibl', 'esprit', 'tromp', 'officiel', 'formacion', 'euros', 'cout', '500', 'euros', 'saur', 'arriv'];travailleur comportent punitio incomprehensibl esprit tromp officiel formacion euros cout 500 euros saur arriv;-1
contrairement aux mauvais avis que vous pouvez lire sur cet etablissement mon experience personnelle a plutot ete bonne jusque la   le personnel a toujours su se montrer competent et a repondre aux questions que j avais pu avoir et je n ai jamais eu de problemes avec mes indemnisations ou autre   simplement la reactivite pourrait etre amelioree  le reste je n ai aucune plainte a effectuer ;0;0;0;0;0;;;['mauv', 'etabl', 'montr', 'competent', 'indemnis', 'reactivit', 'ameliore', 'plaint'];mauv etabl montr competent indemnis reactivit ameliore plaint;5
bonjour  je suis passer ce jour deposer un document  a l accueil  une jeune demoiselle  coupe carre blonde  pas tres avenante et agreable franchement elle meriterait bien un zero etoile et de ne pas la mettre a l accueil ni en contact avec les demandeur d emploi  c est deja  pas evident pour les personnes qui ne travaillent pas mais en plus d avoir a l accueil ce genre de personne ben bonjour la journee  dieu merci les autres collegues tres agreables souriantes et meme derriere un masque on le voit ce sourire  et pour finir j ai du appeler pour avoir un renseignement et la personne au bout du fil qui fait du teletravail pareil tres agreable souriante et rassurante  donc voila pour ma petite experience et merci pour leur sourire et ecoute  ;0;0;0;0;0;;;['docu', 'jeun', 'demoisel', 'coup', 'carr', 'blond', 'aven', 'merit', 'contact', 'travaillent', 'ben', 'dieu', 'collegu', 'souri', 'derrier', 'masqu', 'voit', 'sourir', 'appel', 'fil', 'teletravail', 'pareil', 'souri', 'rassur', 'sourir'];docu jeun demoisel coup carr blond aven merit contact travaillent ben dieu collegu souri derrier masqu voit sourir appel fil teletravail pareil souri rassur sourir;0
qd on a une conseillere pas competente   on sait pourquoi il ya de personne s est immole devant pole emploi pour pouvoir exprimer ;0;0;0;0;0;;;['qd', 'competent', 'ya', 'immol', 'exprim'];qd competent ya immol exprim;-1
personnel aggresif et incompetent au telephone  mauvaise gestion sur place  la dame de l accueil va jusqu a me menacer de  m inscrire a des formations intensives  si je ne suis pas satisfait ;0;0;1;0;1;;;['aggres', 'incompetent', 'gestion', 'format', 'intens', 'satisf'];aggres incompetent gestion format intens satisf;1
si je pouvais mettre 0 etoile je l aurais mise employes incompetent  qui ne transmet pas les informations au superieur j ai du appeler sur plusieurs jours l on m as meme raccrocher au nez car je voulais absolument parler a un superieur ;0;0;1;0;0;;;['incompetent', 'transmet', 'superieur', 'appel', 'raccroch', 'nez', 'superieur'];incompetent transmet superieur appel raccroch nez superieur;1
mon commentaire concerne le service pole emploi rallie au departement du val d oise    j ai voulu appeler pour quelques renseignements concernant ma situation  j ai ete choquee de l attitude de la personne que j ai eu au bout du fil  haussant le ton pour me dire   ne commencez pas a remettre ma parole en doute parce que ca va mal aller   je n ai pas vraiment eu le temps de lui expliquer le probleme elle me coupait la parole sans arret et a fini par me raccrocher au nez pendant que je parlais   je ne suis meme pas encore inscrite a pole emploi et ca commence deja tres mal ;0;0;1;0;0;;;['commentair', 'rall', 'val', 'ois', 'appel', 'choque', 'attitud', 'fil', 'hauss', 'remettr', 'parol', 'coup', 'parol', 'raccroch', 'nez', 'parl', 'inscrit'];commentair rall val ois appel choque attitud fil hauss remettr parol coup parol raccroch nez parl inscrit;2
rassembler les 2 pole emploi et mettre ce nouveaux batiment dans une rue improbable  meme google map ne la situe pas ;0;0;0;0;0;;;['rassembl', 'ru', 'improb', 'googl', 'map', 'situ'];rassembl ru improb googl map situ;-1
le personnel a l accueil est un peu paume  par contre less conseiller sont tres reactifs  en tout cas ma conseillere  reponse par retour de mail dans la journee  locaux neufs trop petits et pour se garer c est la galere par rapport au pole emploi ville haute ;0;0;0;0;0;;;['paum', 'less', 'reactif', 'repons', 'neuf', 'galer', 'haut'];paum less reactif repons neuf galer haut;5
c est propre  c est neuf  dommage pour le parking;1;0;0;0;0;;;['propr', 'neuf', 'parking'];propr neuf parking;8
aucun avis;1;0;0;0;0;;;[];;0
des annees inscrit comme demandeur d emploi et ils ne m ont jamais trouve 1 emploi  ils pensent et disent que j ai pas besoin de travailler  ils jugent d apres ma situation de 2008 lorsque j ai eu l allocation adulte handicape  nous sommes en 2022 et c est honteux et pitoyable de mettre des freins a une personne qui veut et peut travailler en donnant une chance aux adultes handicapes ;0;0;0;0;0;;;['inscrit', 'pensent', 'disent', 'jugent', '2008', 'alloc', 'adult', 'handicap', 'pitoi', 'frein', 'adult', 'handicap'];inscrit pensent disent jugent 2008 alloc adult handicap pitoi frein adult handicap;-1
depuis plusieurs annees jai eu a faire avec l agence de gaillac et a part le changement frequent d interlocuteurs et des problemes assez frequent d erreurs de calcul generant des trop percus  je trouve les personnes tres competentes et humaines ;0;0;0;0;0;;;['gaillac', 'frequent', 'interlocuteur', 'frequent', 'gener', 'percus', 'competent'];gaillac frequent interlocuteur frequent gener percus competent;-1
c est du vide complet   les conseiller pole emploi ne sert a rien     ;0;0;0;0;0;;;['vid'];vid;0
tres bien accueilli entretien a venir pour le moment tout va bien;0;0;0;0;1;;;[];;0
des bons a rien   et le mot et encore gentille   un premier conseiller qui me dit de fournir une attestation de paiement d employeur et l autre qui me dit je vois bien la trace de mon collegue dans le dossier mais sa fonctionne pas comme sa d un collegue a l autre leur fonctionnement change ils sont meme pas coherent dans leur travaille changer de vocation sa vous va pas la clairement je me desinscrit de toute facon vous m avez jamais aider a trouver un seul emploi j ai toujours trouver par moi meme;0;0;0;0;0;;;['gentill', 'attest', 'pai', 'employeur', 'vois', 'trac', 'collegu', 'dossi', 'collegu', 'coherent', 'vocat', 'desinscr'];gentill attest pai employeur vois trac collegu dossi collegu coherent vocat desinscr;0
service d accueil au top    accueil agreable et personnel sympathique  ;0;0;1;0;1;;;['top', 'sympath'];top sympath;2
rassuree de voir dans les commentaires que le probleme ne vient pas de moi mais des personnes travaillant la bas   deux appels le meme jours avec deux personnes differentes impossible de me faire entendre sans qu on me coupe la paroles en m agressant alors qu a la base je demande de l aide et une eventuelle solution et pas qu on me dise de faire une reclamation si je suis pas contente et que eux n ont rien a se reprocher etc  assez choquer de se manque de professionnalisme a tout niveau faut pas s attendre a ce qu on soit cordial lorsque qu on est agresser des la premiere phrase    c est pas parce que vous travailler a pole emploi que vous pouvez vous permettre de nous parler comme de la m  de;0;0;0;0;0;;;['rassure', 'commentair', 'vient', 'appel', 'entendr', 'coup', 'parol', 'agress', 'eventuel', 'reclam', 'content', 'reproch', 'choqu', 'professionnal', 'cordial', 'agress', 'phras', 'permettr'];rassure commentair vient appel entendr coup parol agress eventuel reclam content reproch choqu professionnal cordial agress phras permettr;2
apparement parler comme de la m rde aux gens par telephone plutot que d apporter de l aide est une chose normale dans votre agence  je conseille vivement a la personne qui gere cette agence de faire du tri dans ses employes  et d ecouter les conversations du jour si elles sont enregistrees  parce que c est grave de se permettre de prendre les gens de haut et les agresser de la sorte au lieu d apporter des reponses calmes  une honte  cette bande d incompetentes la ;0;0;0;0;0;;;['appar', 'rde', 'apport', 'viv', 'tri', 'enregistre', 'grav', 'permettr', 'haut', 'agress', 'apport', 'repons', 'calm', 'band', 'incompetent'];appar rde apport viv tri enregistre grav permettr haut agress apport repons calm band incompetent;-1
personne tres desagreable au telephone       a fuir      ;0;0;1;0;1;;;['fuir'];fuir;0
agence d aix les bains avec personnel competent  ecoute  conseils et reactivite  ils apportent un vrai soutien  en ce qui me concerne j ai ete tres bien encadree pour ma creation d entreprise ;0;0;0;0;1;;;['aix', 'bain', 'competent', 'reactivit', 'apportent', 'soutien', 'encadre'];aix bain competent reactivit apportent soutien encadre;5
rdv par mail tout nickel protocole sanitaire nickel de la place peut d attente et la chaise et nettoyer pour la personne suivante  equipe a l air au top et sympa une fois arrivee sinon tres pro efficace direct et complet mail a la fin de la semaine pour le resume de l entretiens avec tout ce qui as ete dit non franchement rien n as redire   peut etre tendu pour se garer mais entre les bus et le boulodrome a quelques minutes de marche y a de quoi trouver une place  juste a cote de la gare nickel  ;0;0;0;0;0;;;['rdv', 'nickel', 'protocol', 'sanitair', 'nickel', 'chais', 'nettoi', 'equip', 'air', 'top', 'arrive', 'pro', 'resum', 'redir', 'tendu', 'bus', 'boulodrom', 'nickel'];rdv nickel protocol sanitair nickel chais nettoi equip air top arrive pro resum redir tendu bus boulodrom nickel;-1
j ai eu une personne au telephone tres peu professionnelle et tres hautaine se permettant de me  donner un conseil personnel  completement deplace  je ne m attendais pas a grand chose venant d un pole emploi mais  alors la  c etait carrement inapproprie ;0;0;1;0;1;;;['hautain', 'attend', 'carr', 'inappropr'];hautain attend carr inappropr;0
les agents d accueil   les conseillers sont tres a l ecoute  aidant et souriant malgre  le port du masque et les consignes sanitaires ;0;0;0;0;1;;;['agent', 'souri', 'masqu', 'consign', 'sanitair'];agent souri masqu consign sanitair;0
incompetence  ;0;0;0;0;1;;;['incompetent'];incompetent;1
tous les jours on me transmets des informations differentes au telephone une honte   ;0;0;1;0;0;;;['transmet'];transmet;0
personne n est capable de vous aider au telephone  on nous renvoie vers un service incompetent    jamais de reponses concretes juste attendez attendez            aucun accompagnement pour la recherche d emploi  la  conseillere   et encore c est un bien grand mot     fait semblant de vous aider pour ensuite etre en arret maladie pendant un long moment   elle ne daigne meme pas revenir vers vous si c est pas vous qui la rappelait ou qui demande un rendez vous je confirme bien mon ancien commentaire  une incompetence sans nom  je vous assure  n attendez rien de leur part uniquement recevoir vos indemnites pole emploi  question travail elles ne font rien       ;0;0;0;0;0;;;['capabl', 'renvoi', 'incompetent', 'repons', 'concret', 'attend', 'attend', 'sembl', 'malad', 'daign', 'reven', 'confirm', 'commentair', 'incompetent', 'assur', 'attend', 'indemnit'];capabl renvoi incompetent repons concret attend attend sembl malad daign reven confirm commentair incompetent assur attend indemnit;-1
turn over important des soi disant conseillers  totalement incompetent  inutile et injoignable  d un cote il faut les comprendre  ils touchent un bon salaire boit du cafe a longueur de journee  assis a tapotet si et la  bref on appelle ca la planque ;0;0;0;0;0;;;['turn', 'over', 'soi', 'incompetent', 'injoign', 'touchent', 'salair', 'caf', 'longueur', 'assis', 'tapotet', 'appel', 'planqu'];turn over soi incompetent injoign touchent salair caf longueur assis tapotet appel planqu;-1
j ai des questions ou peut on se garer  y a t il un parking relais ou un parking  je trouve que l agence est male placee ;1;0;0;0;0;;;['parking', 'rel', 'parking', 'mal', 'place'];parking rel parking mal place;8
que dire pas d accueil impossible de prendre rendez vous etc   juste minable;0;0;0;0;0;;;['minabl'];minabl;0
pour ma part je n ai eu affaire qu a des personnes bienveillantes et aidantes  merci pour votre attention  votre ecoute  vos conseils et votre accompagnement patient et utile  merci  ;0;0;0;0;0;;;['affair', 'patient', 'util'];affair patient util;-1
accueil rapide et a l heure   conseillere tres agreable et arrangeante ;0;0;0;0;1;;;['arrang'];arrang;0
des personnes qui ne sont pas la pour vous aider a trouver un emploi  il sont la avec vous pour    rabaisser critique vous dire que vous ne faites rien  c est que tout le monde n a pas eu la meme vie le meme passer sa il l oublie  ils oublient aussi que nous somme humain que travail on n a su se que c etait   apres facile a critiquer assie derriere un bureau toute la journee  certains conseiller on devrais leur reapprendre a quoi sers leur poste  sa vous fait un sourire devant et derriere sa vous prend pour un     donc franchement aller voir d autres personnes qui vous s aideront mieux que c est personnes;0;0;0;0;1;;;['rabaiss', 'critiqu', 'oublient', 'somm', 'critiqu', 'assi', 'derrier', 'bureau', 'reapprendr', 'ser', 'sourir', 'derrier'];rabaiss critiqu oublient somm critiqu assi derrier bureau reapprendr ser sourir derrier;2
un bon accueil  et les employes prennent vos besoins en consideration ;0;0;0;0;1;;;['prennent', 'besoin'];prennent besoin;-1
agence tres bien  pas evident cependant de trouver du travail quand vous avez affaire a des manipulateurs infinis qui postent des annonces d emploi a l infini    ;0;0;0;0;0;;;['cepend', 'affair', 'manipul', 'infin', 'postent', 'infin'];cepend affair manipul infin postent infin;-1
a fuire tout simplement que se soit au telephone ou en agence personnelle tres desagreable qui ne vous aide pas tout simplement  toute les demarches sont hyper complique au telephone on vous dit a en agence on vous dit b et votre pseudo conseiller vous dit c c est a vous de vous debrouiller;0;0;1;0;0;;;['fuir', 'demarch', 'hyp', 'b', 'pseudo', 'debrouill'];fuir demarch hyp b pseudo debrouill;-1
expo voiture;0;0;0;0;1;;;['expo', 'voitur'];expo voitur;0
accueil telephonique tres desagreable  ;0;0;1;0;1;;;[];;0
plusieurs fois que je tente de rentrer en contact avec mon conseiller par mail  je reste toujours sans reponse   c est une honte   il est cense etre la pour nous aider et savoir nous rediriger et pas nous laisser comme des cons sur le bord de la route      en plus c est impossible de joindre l agence altkirch directement et au 3949 c est pareil   on tombe sur leur put    de boite vocale qui ne propose pas le choix qu on veut et pas moyen d avoir un etre humain  qui nous repond      encore une fois c est la honte chez pole emploi  ;0;0;0;0;0;;;['contact', 'repons', 'redirig', 'bord', 'rout', 'altkirch', '3949', 'pareil', 'put', 'vocal'];contact repons redirig bord rout altkirch 3949 pareil put vocal;0
j avais rendez vous avec une conseillere a pole emploi   altkirch et franchement rien a redire  accueil tres bien tres bonnes explications et a l ecoute des gens merci;0;0;0;0;1;;;['altkirch', 'redir'];altkirch redir;0
c est plus ce que c etait    cotiser pour les autres   ;1;0;0;0;0;;;[];;0
superbe accueil;0;0;0;0;1;;;['superb'];superb;-1
ras;1;0;0;0;0;;;['ras'];ras;0
tres bonne accueil et un personnel qui vous accompagne dans le traitement de votre dossier      ;0;0;0;0;1;;;['dossi'];dossi;0
attention aux formations proposees par les conseillers   en effet  il se peut qu il s agisse de travail dissimule  aucune verification n est faite par pole emploi pour les organismes concernes   non seulement  vous n apprendrez strictement rien mais il se peut que vous soyez condamnes a rembourser les sommes percues  mefiez vous vous de ces conseillers prets a tout pour combler leur chiffre du mois qui plus est incapables de vous proposer une offre d emploi en adequation avec votre profil  heureusement que ces individus ne sonts pas salaries du prive  ils seraient a la place des gens qu ils recoivent depuis longtemps et inemployables  mention speciale a mme lamant qui non contente d etre totalement incompetente vous ment ouvertement tout en sachant qu elle vous met dans une situation impossible plusieurs mois apres ;1;0;0;0;0;;;['format', 'propose', 'agiss', 'dissimul', 'verif', 'apprendr', 'strict', 'condamn', 'rembours', 'percu', 'mef', 'pret', 'combl', 'offre', 'adequ', 'profil', 'individus', 'sont', 'recoivent', 'longtemp', 'inemploi', 'special', 'mme', 'lam', 'content', 'incompetent', 'ment', 'ouvert'];format propose agiss dissimul verif apprendr strict condamn rembours percu mef pret combl offre adequ profil individus sont recoivent longtemp inemploi special mme lam content incompetent ment ouvert;-1
les locaux sont agreables et le personnel est courtois  on est les premier a raler quand ca ne va pas alors il faut egalement dire les choses quand ca va  on a beaucoup de chance d avoir autant de moyens mis en place en france  pour trouver un emploi;1;0;0;0;0;;;['courtois', 'ral'];courtois ral;-1
batiment moderne avec des beaux espaces  salon  espace numerique      conseillers geniaux et qui prennent le temps  endroit et personnes chaleureuses  on est loin des prejuges sur les organisations administratives  ;0;0;0;0;1;;;['modern', 'espac', 'salon', 'numer', 'genial', 'prennent', 'endroit', 'chaleur', 'prejug', 'administr'];modern espac salon numer genial prennent endroit chaleur prejug administr;6
jamais ces gens trouveront un travail pour quelq un   leurs seul moyen de  baisse le taux de chomeur   c est de radie des personnes car ils sont pas venus a un rdv imaginaire   et a part vous invitez a une reunion d information inutile ou la plupart des personnes presentes ont du redoubler la segpa  ou ceux qui viennent avec leurs enfants pour faire pitie mdr;0;0;0;0;1;;;['quelq', 'baiss', 'taux', 'venus', 'rdv', 'imaginair', 'invit', 'plupart', 'redoubl', 'segp', 'viennent', 'pit', 'mdr'];quelq baiss taux venus rdv imaginair invit plupart redoubl segp viennent pit mdr;0
accessible facilement  ;1;0;0;0;0;;;['accessibl', 'facil'];accessibl facil;-1
professional   friendly staff interview well enrolled and positivity showed all the time;1;0;0;0;1;;;['professional', 'friendly', 'staff', 'interview', 'wel', 'enrolled', 'and', 'positivity', 'showed', 'all', 'the', 'tim'];professional friendly staff interview wel enrolled and positivity showed all the tim;-1
tres bien bon accueil;0;0;0;0;1;;;[];;0
un tres bon accueil pour une inscription ;0;0;0;0;1;;;[];;0
pas de personnel pas de suivis des personnes au rsa aucunes reponses;0;0;0;0;0;;;['rsa', 'repons'];rsa repons;4
conseiller au telephone legerement condescendant envers les jeunes;0;0;1;0;0;;;['leger', 'condescend', 'enver', 'jeun'];leger condescend enver jeun;0
ils sont tres gentils  merci aux services civiques pour leurs aides;0;0;0;0;0;;;['gentil', 'civiqu'];gentil civiqu;0
ils sont formidables  ;0;1;0;0;1;;;['formid'];formid;0
les horaires sont inadaptes aux chomeurs mais les fonctionnaires ne peuvent pas comprendre ils croient qu un chomeur ne fait rien;0;0;0;0;0;;;['horair', 'inadapt', 'fonctionnair', 'croient'];horair inadapt fonctionnair croient;1
sacre pepite au telephone    si ca leur fait ch    de travailler  on le comprend vite au telephone   qu ils laissent leur taff aux autres  on est pris pour des c     parce que la personne est incapable de comprendre quoi que ce soit ;0;0;1;0;0;;;['sacr', 'pepit', 'ch', 'laissent', 'taff'];sacr pepit ch laissent taff;0
voila plusieurs semaines que j attends un signe de ma conseillere malgre plusieurs mails  sms et appels lances     gros manque de professionnalisme;0;0;1;0;0;;;['attend', 'sm', 'appel', 'lanc', 'professionnal'];attend sm appel lanc professionnal;0
le lieu n est pas forcement agreable mais les hotesses et hotes d accueil sont tres disponibles et serviable  l espace est grand en open space se qui n est pas forcement agreable si on ne veut pas que les autres personnes entendent  le personnel est competent j y suis alle le matin car l apres midi inutile de se deplacer car c est sur rdv ;0;0;0;0;0;;;['hotess', 'hot', 'disponibl', 'serviabl', 'open', 'spac', 'entendent', 'competent', 'rdv'];hotess hot disponibl serviabl open spac entendent competent rdv;6
mpossible de prendre rendez vous;0;0;1;0;1;;;['mpossibl'];mpossibl;-1
toujours bloque pour la demarche effectue et toujours pas moyen que l on m explique meme apres plusieurs demandes;1;0;0;0;0;;;['demarch'];demarch;0
pas d une tres grande aide mais mon conseille   matthieu porcheron   est tres agreable et comprehensif;0;0;0;0;0;;;['matthieu', 'porcheron', 'comprehens'];matthieu porcheron comprehens;0
impossible de prendre rendez vous avec les conseilles via le site  la personne a l accueil n est pas conciliante et ne m a pas permis de re imprimer mon papier de ppae dans les locaux malgre les postes libres mis a disposition  les documents fournis sur mon compte ont ete pris en compte mais pas relier avec mes document a fournir  a mon 1er rendez vous j ai attendue 30min pour etre prise   vraiment nul ;0;0;0;0;0;;;['concili', 're', 'ppa', 'libr', 'docu', 'compt', 'compt', 'reli', 'docu', 'attendu', '30min'];concili re ppa libr docu compt compt reli docu attendu 30min;0
tres bonne accueil conseille a l ecoute  aide pour me faire un cv agreablement surprise;0;0;0;0;1;;;[];;0
grosse difficultes a contacter les conseillers  j ai contacte ma conseillere par mail  elle s est presque moquee de moi en me disant que je devait prendre rdv sur l interface alors que depuis 2 semaines ca me dit aucune plage horaire disponible avec ce conseiller   service a revoir  vraiment ;0;0;1;0;0;;;['gross', 'contact', 'contact', 'moque', 'rdv', 'interfac', 'plag', 'horair', 'revoir'];gross contact contact moque rdv interfac plag horair revoir;0
